Config Parameter Name,Type,Required,Default (if not set),Possible Values,Description,Can be used for parameter variations
inherits from,integer,no,,,Define another scenario ID from which the current scenario should inherit the defined values,
data input path,string,yes,,,Path (relative or absolute) to the input data,no
data output path,string,yes,,,Path (relative or absolute) to the directory where the output should be saved,no
database name,string,no,SystemStructure.db,,Name of the database that contains the system structure,no
start,string (encoding a datetime),yes,,YYYY-mm-dd HH:MM:SS,"Start date in the format YYYY-mm-dd HH:MM:SS - if the data start after start date, simulation will wait for the data to start",no
end,string (encoding a datetime),yes,,YYYY-mm-dd HH:MM:SS,"End date in the format YYYY-mm-dd HH:MM:SS - if the data end earlier, simulation will stop there",no
time steps per hour,integer,yes,,1 to infinity,Number of time steps per hour,no
ev data path,string,no,,,Path (relative or absolute) to the EV driving profiles and other EV related data,no
,,,,,,
open space PV kWp ,float,yes,,0.0 to infinity,Additional open space PV power in kWp,no
open space wind kWp ,float,yes,,0.0 to infinity,Additional open space wind power in kWp,no
,,,,,,
expansion id,integer,yes,,,ID of the scenario which defines the expansion,
,,,,,,
expansion PV min kWp for section usage ,float,no,0.0,,"Minimal size of a PV installation on a roof section, to include this section",yes
expansion PV max inst kWp per section ,float,no,-1.0,,Maximal size of a PV installation in kW per roof section,yes
expansion PV max inst kWp per unit ,float,no,-1.0,,Maximal size of the total PV installation in kW per control unit,no
expansion PV kWp per roof area in m2 ,float,yes,,,kWp per roof area (how it is in the three dimensional space),yes
expansion PV kWp static ,float,only if ‘expansion PV kWp static mode’ is set to true,,,see next variable,yes
expansion PV kWp static mode ,float,yes,,,"If set to true, ignore all roof information and just add a static pv installation per roof",no
expansion PV static mode profile orientation,string,no,,,Profile orientation if static mode is selected,no
expansion PV static mode profile index,integer,no,,,Profile index if static mode is selected. Especially usefull if an fixed orientation is given,no
expansion PV max total kWp addition ,float,no,no max. set,,Maximal size of all added PV installations over all control units,no
,,,,,,
expansion BS P in kW ,float,yes,,,Power in kW of the simulatively added batteries,yes
expansion BS E in kWh ,float,yes,,,Capacity in kWh of the simulatively added batteries,yes
expansion BS initial SOC ,float,yes,,,Initial SOC of the simulatively added batteries,yes
expansion BS E:P ratio ,float,only if ‘expansion BS power computation mode’ == ‘Use E:P ratio’,,,E:P-ratio for setting the power of simulatively added batteries dependent of the capacity (interesting for parameter variations),yes
expansion BS power computation mode,string,yes,,Power as given / Use E:P-ratio,"If set to ‘Use E:P ratio’ the variabel ‘expansion BS P in kW’ will be ignored, instead P will be E / this variable",no
expansion BS efficiency in,float,no,1,0.0 to 1.0,Efficiency of the battery for charging in percent,
expansion BS efficiency out,float,no,1,0.0 to 1.0,Efficiency of the battery for discharging in percent,
expansion BS self-discharge per ts,float,no,0,0.0 to 1.0,Self-discharging rate in percent per time step,
expansion BS power for SOC 0,float,no,0,0.0 to inf,Power consumption of the battery controller if SOC is 0 in kW, 
expansion BS power for SOC 1,float,no,0,0.0 to inf,Power consumption of the battery controller if SOC is 1 in kW,
expansion BS max total E addition,float,no,no max. set,,Upper limit for the capacity of all added resid. battery storage systems,no
,,,,,,
EV plugin probability,float,no,0.25,0.0 to 1.0,The probability of plugin in an EV when arraving at home (special cases for low SOC are hard coded),no
,,,,,,
tariff feed-in per kWh ,float,yes,,,,no
tariff demand per kWh ,float,yes,,,The demand per kWh energy taken from the grid - This parameter is ignored if a time series on the demand prices is given,no
emissions per kWh,float,no,100.0,,The emissions in CO2eq per kWh of energy taken from the grid - This parameter is ignored if a time series on emissions is given,no
net present value discount rate ,float,yes,,,,no
net present value time horizon in years ,float,yes,,,,no
installation cost PV per kWp ,float,yes,,,,no
installation cost BS per kWh ,float,yes,,,,no
,,,,,,
expansion profile selection ,string,yes,,as in data / random,Controls how the profiles (if there are more than one) should be assigned to a new created component,???
CU selection mode for comp. add. ,string,yes,,as in data / random / best SSR / best NPV,"Controls how to select the control units for expansion, in case of best SSR and best NPV a simulation is executed first, where all SSR and NPV values for every control unit are computed, then they are sorted and finally this sorted list is taken",???
,,,,,,
th. E to HP el. E conversion factor,float,yes,,,Factor for converting a thermal energy per building into a heat pump electricity consumption,no
HP el. E estimation m,float,yes,,,Parameter for estimating the heat pump consumption if no data is given for a building in the data (param: coef. of the linear regression),no
HP el. E estimation t,float,yes,,,Parameter for estimating the heat pump consumption if no data is given for a building in the data (param: intercept of the linear regression),no
,,,,,,
